"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\app.color.ts", "TypeScript", 124, 0, 0, 0, 36, 160
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\app.component.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\app.config.ts", "TypeScript", 45, 0, 0, 0, 6, 51
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\app.module.ts", "TypeScript", 52, 0, 0, 0, 1, 53
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\app.routing.ts", "TypeScript", 18, 0, 0, 1, 2, 21
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\app.state.ts", "TypeScript", 32, 0, 0, 0, 11, 43
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\authentication.guard.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\logic\models\bookingUpdate.ts", "TypeScript", 13, 0, 0, 0, 1, 14
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\logic\models\order.ts", "TypeScript", 103, 0, 0, 0, 1, 104
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\logic\models\product.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\logic\models\project.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\logic\models\user-model\user-model.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\logic\models\user-model\user-model.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
